Total emissions: 336430.42999999906
 
Vehicle; Emission 
test_trip_244;439.6399999999999
test_trip_144;143.41999999999996
test_trip_207;192.7
test_trip_224;285.35
test_trip_245;495.49999999999994
test_trip_246;539.4999999999994
test_trip_247;249.55999999999997
test_trip_249;482.00999999999993
test_trip_251;413.0999999999998
test_trip_252;333.4200000000001
test_trip_253;284.47
test_trip_254;181.73000000000005
test_trip_255;260.29999999999995
test_trip_169;462.3999999999998
test_trip_203;84.97999999999999
test_trip_206;410.86999999999995
test_trip_212;221.82000000000005
test_trip_256;206.92000000000013
test_trip_257;409.1500000000001
test_trip_258;457.6699999999999
test_trip_259;240.5600000000002
test_trip_260;226.32999999999987
test_trip_261;111.31999999999995
test_trip_262;363.1899999999998
test_trip_264;104.94
test_trip_265;392.3199999999997
test_trip_266;359.3499999999999
test_trip_172;322.20999999999987
test_trip_219;390.8100000000001
test_trip_237;300.9399999999998
test_trip_241;329.1600000000001
test_trip_268;202.7000000000001
test_trip_269;183.5900000000001
test_trip_271;52.879999999999995
test_trip_273;74.76999999999997
test_trip_274;71.76999999999998
test_trip_275;420.23000000000013
test_trip_276;299.27000000000015
test_trip_277;622.4699999999991
test_trip_178;135.10000000000002
test_trip_227;406.0699999999997
test_trip_229;414.0599999999999
test_trip_278;150.72000000000008
test_trip_279;274.1600000000001
test_trip_280;164.94000000000008
test_trip_281;134.67000000000002
test_trip_287;132.42000000000013
test_trip_288;406.5099999999999
test_trip_223;201.69999999999996
test_trip_289;141.35000000000008
test_trip_290;243.25000000000009
test_trip_291;178.09000000000003
test_trip_293;116.06000000000002
test_trip_294;327.8899999999997
test_trip_296;647.4599999999999
test_trip_298;435.52000000000004
test_trip_300;358.5699999999999
test_trip_242;526.6399999999999
test_trip_250;351.38000000000005
test_trip_263;478.11999999999995
test_trip_270;398.9199999999999
test_trip_286;329.0699999999999
test_trip_301;198.5399999999999
test_trip_303;522.7000000000002
test_trip_307;556.9999999999998
test_trip_309;65.93
test_trip_310;260.01
test_trip_311;319.66999999999985
test_trip_295;151.23000000000002
test_trip_299;505.8299999999997
test_trip_302;144.67999999999998
test_trip_304;509.41
test_trip_312;395.11
test_trip_315;336.41999999999996
test_trip_316;332.69999999999993
test_trip_317;252.15000000000012
test_trip_318;741.7000000000003
test_trip_320;769.21
test_trip_321;169.04999999999993
test_trip_322;350.4799999999998
test_trip_217;264.87000000000006
test_trip_226;637.2199999999995
test_trip_248;394.48
test_trip_282;193.91999999999996
test_trip_285;259.1100000000002
test_trip_308;130.92000000000004
test_trip_325;141.77999999999997
test_trip_327;205.3900000000001
test_trip_328;207.54
test_trip_329;368.1499999999999
test_trip_332;258.29999999999984
test_trip_314;579.41
test_trip_323;201.91999999999996
test_trip_334;285.7999999999999
test_trip_337;498.72999999999996
test_trip_343;72.0
test_trip_344;419.1399999999996
test_trip_267;282.2700000000001
test_trip_272;285.66999999999996
test_trip_283;438.8399999999998
test_trip_340;302.8100000000001
test_trip_345;272.14000000000004
test_trip_346;319.40999999999985
test_trip_349;206.75000000000003
test_trip_354;273.34000000000015
test_trip_355;206.92999999999995
test_trip_234;364.3799999999998
test_trip_331;393.1900000000001
test_trip_338;379.29999999999984
test_trip_348;74.38999999999999
test_trip_353;336.46999999999986
test_trip_356;318.40000000000003
test_trip_358;556.3000000000001
test_trip_359;141.3600000000001
test_trip_361;370.68999999999954
test_trip_362;325.9
test_trip_363;228.25999999999993
test_trip_305;413.2500000000001
test_trip_306;478.71
test_trip_369;208.41000000000008
test_trip_370;612.3000000000001
test_trip_371;267.76000000000005
test_trip_373;359.3199999999999
test_trip_376;248.04000000000008
test_trip_324;155.12000000000003
test_trip_333;167.53999999999996
test_trip_339;165.23999999999998
test_trip_357;254.31000000000012
test_trip_377;307.05
test_trip_378;40.86000000000001
test_trip_379;150.82999999999998
test_trip_380;207.5400000000002
test_trip_386;153.66000000000005
test_trip_387;274.41
test_trip_388;557.5699999999998
test_trip_360;418.50000000000006
test_trip_368;346.6200000000002
test_trip_384;360.38999999999993
test_trip_389;305.82000000000033
test_trip_391;402.2000000000002
test_trip_392;317.99999999999994
test_trip_393;530.3199999999993
test_trip_396;153.44999999999993
test_trip_399;307.07999999999987
test_trip_400;466.6600000000004
test_trip_335;243.40999999999994
test_trip_364;368.6600000000001
test_trip_383;276.4099999999998
test_trip_395;517.1900000000002
test_trip_402;283.9199999999999
test_trip_403;161.95000000000007
test_trip_405;356.41999999999985
test_trip_406;317.0400000000001
test_trip_407;315.49
test_trip_408;266.51
test_trip_284;260.4800000000001
test_trip_350;423.28
test_trip_412;81.75000000000004
test_trip_413;297.95999999999964
test_trip_414;345.0000000000002
test_trip_416;452.8799999999998
test_trip_417;352.80000000000007
test_trip_418;428.93000000000006
test_trip_419;355.24999999999983
test_trip_422;470.3299999999995
test_trip_292;158.51999999999998
test_trip_330;266.71000000000004
test_trip_404;485.02999999999963
test_trip_421;287.9799999999999
test_trip_426;524.0800000000002
test_trip_431;409.3800000000001
test_trip_367;262.11999999999995
test_trip_397;473.20999999999964
test_trip_398;354.58000000000027
test_trip_423;108.82
test_trip_425;427.07
test_trip_434;293.9400000000004
test_trip_437;347.89000000000027
test_trip_438;430.41999999999996
test_trip_439;354.81000000000006
test_trip_443;658.9499999999998
test_trip_336;549.3799999999995
test_trip_385;390.0199999999999
test_trip_401;314.73999999999955
test_trip_429;119.19999999999999
test_trip_444;345.5500000000001
test_trip_446;420.6399999999999
test_trip_448;104.86000000000003
test_trip_451;198.27000000000007
test_trip_452;252.88
test_trip_453;397.55999999999995
test_trip_454;204.27999999999977
test_trip_455;464.9699999999997
test_trip_326;79.69000000000001
test_trip_351;95.86
test_trip_366;262.90999999999997
test_trip_374;243.7500000000001
test_trip_445;429.15
test_trip_450;445.3299999999999
test_trip_456;318.1099999999998
test_trip_457;60.589999999999996
test_trip_458;232.9300000000001
test_trip_461;161.62
test_trip_463;201.76000000000008
test_trip_352;561.6600000000001
test_trip_381;270.24
test_trip_411;285.96999999999997
test_trip_420;108.23999999999997
test_trip_441;56.93999999999998
test_trip_442;318.98999999999995
test_trip_459;337.30999999999995
test_trip_464;307.6900000000002
test_trip_465;245.96999999999994
test_trip_466;73.56
test_trip_468;402.4499999999999
test_trip_470;346.03
test_trip_472;506.58
test_trip_474;440.08999999999963
test_trip_475;243.83
test_trip_365;270.12999999999994
test_trip_428;478.2099999999999
test_trip_473;262.91
test_trip_476;622.2399999999993
test_trip_478;208.25
test_trip_479;301.70000000000005
test_trip_480;374.4
test_trip_481;108.0
test_trip_482;556.0599999999997
test_trip_484;316.97
test_trip_297;402.4200000000002
test_trip_430;479.8799999999996
test_trip_435;116.53
test_trip_436;308.3399999999999
test_trip_483;387.81999999999977
test_trip_491;376.3700000000002
test_trip_494;240.81000000000006
test_trip_495;178.45000000000005
test_trip_496;566.0499999999996
test_trip_498;151.52000000000004
test_trip_499;382.1499999999999
test_trip_427;436.3499999999996
test_trip_477;350.37
test_trip_506;463.86999999999983
test_trip_508;52.74
test_trip_509;372.61999999999995
test_trip_510;198.48999999999995
