Total emissions: 333991.6099999999
 
lane; Emission 
:1372441170_1_0;4.989999999999998
:60170471_11_0;0.8400000000000001
:1372441170_4_0;145.15999999999994
:247359926_14_0;37.40999999999999
:1372318831_10_0;3.7800000000000002
:1377211667_5_0;1.87
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_4_1;15.29
:1372376956_6_0;17.930000000000003
30529424_1;0.06
:1377211669_8_0;121.54999999999998
:cluster_1372318829_159619609_4_0;37.52
:1456572633_0_0;0.0
30529424_2;7.56
:1372260455_7_0;102.12000000000002
:1372318837_0_0;69.36999999999995
:25291564_12_0;49.02999999999999
:250658253_0_0;8.440000000000001
:1372233733_4_0;5.87
:1372233754_7_0;17.77
:25291565_14_0;10.310000000000002
:1372441170_6_0;4.26
:1372233733_10_0;27.290000000000006
:60004721_7_0;0.0
:1377211666_3_0;18.81
:313981058_0_1;10.75
:913250150_0_2;18.259999999999998
:247359926_2_0;209.03000000000003
:317703803_0_0;7.76
:58753656_3_2;45.44999999999999
:25292477_5_0;103.55000000000003
:25291571_0_0;89.57999999999997
28586048_1;40.050000000000004
77615451#1_2;309.78
:1372318831_14_0;24.500000000000004
:1372441170_10_0;23.760000000000005
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_2_0;0.9099999999999999
:25291564_14_0;1.0
:1372233733_6_0;4.970000000000001
:25291565_22_0;30.800000000000008
:25292473_2_0;0.42
:1372233754_8_0;23.98
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_13_0;0.95
:25292473_11_0;0.39
:cluster_266159806_266159899_12_0;49.59999999999999
:cluster_258188404_258189020_529507770_529507771_4_0;64.37999999999998
:25291550_10_0;0.0
:cluster_258188404_258189020_529507770_529507771_15_0;40.19
:1372318831_5_0;83.88999999999999
:449182529_0_1;23.7
:25291537_1_0;68.59000000000002
:1372260491_0_0;6.26
38156742_1;129.71000000000004
:56116937_9_0;26.75
:cluster_1372477605_246630384_246630386_266378250_292727217_317703608_317703609_434149261_6795337887_6795337888_6795337889_6860480481_913255820_0_0;28.48
:25291565_9_0;155.32
:1379323922_1_0;27.789999999999996
:25291572_0_1;4.619999999999999
:25291567_10_0;180.38999999999996
:25291567_5_0;0.04
:1372233733_8_0;0.44
:250658253_1_0;146.20999999999998
36729011#1_0;716.1499999999994
:cluster_266159806_266159899_4_1;71.51999999999998
:1372441170_7_1;82.17000000000003
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_10_1;81.64999999999996
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_10_0;96.41999999999997
:401354505_0_0;13.41
:cluster_1005526490_25291568_2_0;7.6999999999999975
:25292473_1_0;3.68
38156743#0_0;330.8600000000003
:25292473_10_0;17.29
:25291565_2_0;2.63
:1372233733_7_0;22.080000000000002
:25291537_5_0;86.18000000000002
:247359926_3_0;1.26
61059623_0;221.79000000000002
:1372376956_10_0;1.76
77615981#0_0;158.35999999999996
:25291591_3_0;629.6500000000004
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_12_0;46.54
:1377211669_0_0;3.2
:25291567_14_0;0.18
:1372441170_3_0;34.72
:25291571_3_0;310.63000000000005
:25291550_4_0;289.0700000000001
:25291565_16_0;5.329999999999998
:913255827_0_0;74.88
:59953366_3_0;4.4
77615982_0;683.3800000000001
332399561#2_1;1037.7399999999996
:1372260491_4_0;174.42999999999998
:cluster_1372477605_246630384_246630386_266378250_292727217_317703608_317703609_434149261_6795337887_6795337888_6795337889_6860480481_913255820_7_0;4.64
:60004721_6_0;11.160000000000002
:cluster_1005526490_25291568_10_0;1.6800000000000002
:1372318831_15_0;0.26
:1377211668_14_0;1.7100000000000002
:1372441170_2_0;0.64
:1372441170_11_0;0.65
:1372260455_2_0;0.27
:1372318837_3_0;10.650000000000002
:cluster_1372318829_159619609_11_0;2.4500000000000006
:cluster_1372207346_266159810_311043735_344219179_7734325326_7734325333_0_0;400.35999999999973
:1377211668_12_0;6.08
:25291550_3_0;48.93
:1377940906_3_0;42.62000000000001
:1377211666_4_0;39.519999999999996
:25291565_10_0;7.390000000000002
:720742798_0_0;4.51
:25291565_20_0;28.21
