Total emissions: 333991.6099999999
 
time(s); Emission 
763.00;139.07999999999998
764.00;130.17
765.00;136.82
766.00;145.84
767.00;153.31000000000006
768.00;158.54999999999998
769.00;159.39999999999998
770.00;153.21999999999994
771.00;154.69
772.00;150.9
773.00;155.48000000000005
774.00;152.70999999999998
775.00;139.50000000000003
776.00;136.74999999999997
777.00;145.4699999999999
778.00;142.29
779.00;141.39000000000004
780.00;150.94
781.00;137.47
782.00;141.14999999999995
783.00;144.81000000000006
784.00;129.21000000000004
785.00;132.08
786.00;143.07000000000005
787.00;147.62999999999997
788.00;126.66000000000001
789.00;146.67999999999992
790.00;123.12000000000002
791.00;121.71
792.00;127.1
793.00;135.60000000000008
794.00;142.79999999999998
795.00;163.0699999999999
796.00;148.69000000000003
797.00;150.01000000000002
798.00;149.24999999999997
799.00;167.67999999999995
800.00;166.55000000000007
801.00;170.22000000000003
802.00;179.91999999999996
803.00;175.35000000000005
804.00;156.61999999999998
805.00;164.56
806.00;161.0
807.00;170.5
808.00;148.68
809.00;168.85000000000002
810.00;150.72000000000006
811.00;142.35999999999996
812.00;147.62
813.00;134.79999999999998
814.00;122.37000000000005
815.00;130.27
816.00;116.85000000000001
817.00;121.83
818.00;134.99000000000004
819.00;127.56999999999996
820.00;118.43000000000004
821.00;129.80000000000007
822.00;123.29
823.00;124.04000000000003
824.00;125.18
825.00;124.69000000000003
826.00;129.95
827.00;124.19000000000003
828.00;124.03000000000002
829.00;105.67999999999996
830.00;99.33000000000001
831.00;91.86000000000001
832.00;101.17999999999999
833.00;103.26000000000006
834.00;102.71000000000002
835.00;115.11999999999999
836.00;123.52
837.00;110.67999999999999
838.00;109.10999999999997
839.00;105.28999999999999
840.00;100.81000000000004
841.00;100.25000000000003
842.00;94.70999999999998
843.00;92.94000000000003
844.00;100.82000000000002
845.00;101.48000000000002
846.00;105.12
847.00;111.95999999999997
848.00;122.25999999999998
849.00;112.15000000000009
850.00;120.01
851.00;129.57999999999998
852.00;126.29000000000002
853.00;130.23000000000002
854.00;139.35000000000008
855.00;138.40000000000003
856.00;128.53
857.00;123.84000000000006
858.00;124.38000000000007
859.00;122.27000000000002
860.00;134.22000000000008
861.00;125.84000000000002
862.00;124.89999999999993
863.00;125.92000000000003
864.00;129.53
865.00;135.17000000000002
866.00;144.95
867.00;146.46000000000006
868.00;135.36999999999998
869.00;149.64
870.00;136.22999999999993
871.00;130.34
872.00;138.45999999999998
873.00;126.75000000000001
874.00;113.66
875.00;111.91000000000003
876.00;103.69000000000003
877.00;100.54999999999998
878.00;88.43999999999996
879.00;86.66
880.00;83.78
881.00;85.27999999999996
882.00;71.81
883.00;80.27
884.00;71.45000000000003
885.00;69.91
886.00;69.47
887.00;76.21000000000004
888.00;80.61999999999998
889.00;80.19
890.00;83.78000000000002
891.00;86.46000000000002
892.00;63.26999999999997
893.00;78.52000000000004
894.00;92.71
895.00;83.41999999999999
896.00;90.44000000000005
897.00;82.64000000000004
898.00;89.53000000000003
899.00;93.82000000000002
900.00;92.04999999999998
901.00;90.53999999999996
902.00;95.57999999999998
903.00;101.30000000000001
904.00;106.72999999999999
905.00;105.54
906.00;100.09999999999997
907.00;105.57
908.00;110.21
909.00;115.59
910.00;128.31
911.00;128.73000000000002
912.00;129.75
913.00;120.44000000000001
914.00;121.62000000000003
915.00;127.29999999999998
916.00;125.68
917.00;114.87
918.00;118.60000000000004
919.00;121.76999999999994
920.00;126.99999999999999
921.00;119.13000000000001
922.00;120.99000000000001
923.00;108.09
924.00;107.61
925.00;117.99999999999997
926.00;120.40000000000006
927.00;128.34000000000006
928.00;116.69000000000005
929.00;115.95000000000002
930.00;118.96000000000001
931.00;111.28999999999999
932.00;105.66000000000005
933.00;99.33000000000001
934.00;98.16999999999999
935.00;106.64
936.00;101.47999999999998
937.00;98.80000000000004
938.00;95.01999999999998
939.00;112.57000000000002
940.00;95.64999999999999
941.00;112.88000000000005
942.00;105.02000000000005
943.00;108.64999999999999
944.00;110.88000000000008
945.00;105.17999999999999
946.00;128.54000000000002
947.00;121.82
948.00;129.30999999999997
949.00;139.82
950.00;132.23000000000008
951.00;134.99999999999997
952.00;122.54
953.00;125.18000000000004
954.00;128.85
955.00;126.69000000000004
956.00;137.93000000000004
957.00;123.29000000000002
958.00;128.45000000000005
959.00;119.48
960.00;126.41000000000003
961.00;127.41000000000005
962.00;122.09999999999998
963.00;116.83000000000006
964.00;126.02000000000002
965.00;118.50999999999995
966.00;117.92999999999999
967.00;126.71000000000005
968.00;124.28000000000003
969.00;123.50000000000004
970.00;131.91000000000005
971.00;137.11999999999992
972.00;138.81
973.00;152.09000000000012
974.00;163.85000000000002
975.00;168.87000000000003
976.00;161.27
977.00;174.89
978.00;179.07999999999998
979.00;176.39999999999995
980.00;179.54000000000005
981.00;190.89000000000001
982.00;197.2299999999999
983.00;207.60999999999996
984.00;202.48000000000002
985.00;215.03000000000003
986.00;235.39000000000001
987.00;236.60000000000008
988.00;229.12999999999997
989.00;218.90000000000006
990.00;240.54999999999993
991.00;226.88000000000005
992.00;228.42000000000002
993.00;194.25
994.00;181.34999999999997
995.00;187.47
996.00;183.27999999999997
997.00;175.18000000000012
998.00;183.81999999999996
999.00;159.53000000000006
1000.00;169.02999999999997
1001.00;163.76000000000002
1002.00;163.69999999999987
1003.00;173.25999999999996
1004.00;154.27000000000004
1005.00;165.1000000000001
1006.00;158.10000000000008
1007.00;160.48999999999998
1008.00;156.85000000000005
1009.00;171.48000000000005
1010.00;173.54
1011.00;182.55999999999992
1012.00;180.41000000000005
1013.00;196.92999999999998
1014.00;190.25999999999993
1015.00;191.78999999999988
1016.00;196.89000000000004
1017.00;198.10999999999999
1018.00;191.54000000000013
1019.00;189.31000000000006
1020.00;195.84999999999997
1021.00;181.96000000000004
1022.00;187.84000000000015
1023.00;166.27
1024.00;171.81
1025.00;169.04
1026.00;162.4100000000001
1027.00;159.68000000000004
1028.00;183.46000000000004
1029.00;182.45
1030.00;172.25
1031.00;184.76999999999992
1032.00;191.11
1033.00;187.15
1034.00;183.00000000000009
1035.00;171.89
1036.00;160.11
1037.00;169.22
1038.00;157.84
1039.00;174.60000000000002
1040.00;176.79000000000008
1041.00;170.2800000000001
1042.00;165.33000000000004
1043.00;177.89000000000004
1044.00;166.14999999999992
1045.00;162.75999999999996
1046.00;162.26999999999998
1047.00;178.92000000000004
1048.00;183.46000000000004
1049.00;187.15
1050.00;193.50999999999996
1051.00;198.92000000000004
1052.00;185.73999999999998
1053.00;182.35999999999999
1054.00;181.67000000000002
1055.00;166.28000000000003
1056.00;175.21000000000004
1057.00;174.83
1058.00;175.87000000000003
1059.00;194.09
1060.00;196.37000000000003
1061.00;194.86
1062.00;191.15
1063.00;189.1100000000001
1064.00;167.64
1065.00;145.76
1066.00;149.92999999999998
1067.00;166.28
1068.00;163.80000000000004
1069.00;168.24
1070.00;157.82
1071.00;148.46000000000004
1072.00;135.53
1073.00;158.80999999999997
1074.00;148.79000000000005
1075.00;136.14000000000004
1076.00;142.54
1077.00;152.12000000000003
1078.00;156.89000000000013
1079.00;150.11999999999995
1080.00;153.30000000000004
1081.00;136.58
1082.00;151.98000000000002
1083.00;140.13000000000005
1084.00;138.62999999999997
1085.00;141.57000000000002
1086.00;133.01999999999995
1087.00;118.57
1088.00;119.08999999999999
1089.00;123.09
1090.00;129.22000000000008
1091.00;115.47000000000003
1092.00;117.98000000000002
1093.00;118.50000000000001
1094.00;115.55000000000003
1095.00;118.27999999999999
1096.00;122.50999999999998
1097.00;134.07000000000002
1098.00;123.68
1099.00;130.59000000000003
1100.00;124.56
1101.00;135.51
1102.00;136.02000000000004
1103.00;136.00999999999996
1104.00;126.57
1105.00;125.54999999999998
1106.00;124.02000000000001
1107.00;118.70999999999997
1108.00;131.13000000000005
1109.00;128.62000000000006
1110.00;129.59000000000006
1111.00;138.41
1112.00;135.14
1113.00;135.94000000000003
1114.00;129.08
1115.00;122.5
1116.00;124.38000000000004
1117.00;128.75000000000006
1118.00;115.81999999999996
1119.00;128.74000000000004
1120.00;129.71999999999997
1121.00;133.52999999999994
1122.00;136.67000000000007
1123.00;136.64000000000004
1124.00;134.1099999999999
1125.00;134.82
1126.00;128.92999999999998
1127.00;128.81000000000003
1128.00;141.12999999999994
1129.00;142.85999999999999
1130.00;149.62999999999988
